// 마법방어 연산법
// 마비를 몹이 방어 하려면 +100
// 절망를 몹이 방어 하려면 +200
// 혼돈를 몹이 방어 하려면 +400
// EX)) 마비, 절망 못쓰게 하려면 300에, 마방 50%면 350 설정.
//번호	이름	이미지	염색	체력	경험치	방어력	크기tp	공격tp	마방	최소뎀	최대뎀	공격	사망	움직임단위초(ms)
74	꼬마돼지	21	11	15000	100000	-40	s	0	0	795	805	-	@꼬마돼지	1200
75	농사꾼원숭이	127	4	20000	200000	-30	s	0	0	1295	1305	-	@농사꾼원숭이	1100
76	부자원숭이	127	3	20000	250000	-30	s	0	0	1295	1305	-	@부자원숭이	1100
77	사냥꾼원숭이	127	31	20000	250000	-30	s	0	0	1295	1305	-	@사냥꾼원숭이	1100
78	날쌘원숭이	127	2	20000	250000	-30	s	0	0	1295	1305	-	@날쌘원숭이	800
79	장로원숭이	127	11	30000	350000	-30	s	0	0	2295	2305	-	@장로원숭이	1200
80	용왕토끼	22	0	50000	100	30	s	0	160	95	105	-	@용왕토끼	800
81	붉은토끼	22	31	100	100	-5	s	1	0	0	10	-	@붉은토끼	800
82	초록토끼	22	1	100	100	-5	s	1	0	0	10	-	@초록토끼	800
83	갈색토끼	22	4	100	100	-5	s	1	0	0	10	-	@초록토끼	800
84	미친토끼	22	15	100	100	-5	s	1	0	0	10	-	@미친토끼	800
85	방어의다람쥐	26	1	300	100	-4	s	1	0	0	10	-	@방어의다람쥐	800
86	명중의다람쥐	26	18	300	100	-4	s	1	0	0	10	-	@명중의다람쥐	800
87	공격의다람쥐	26	3	300	100	-4	s	1	0	0	10	-	@공격의다람쥐	800
88	체력의다람쥐	26	7	300	100	-4	s	1	0	0	10	-	@체력의다람쥐	1000
89	마력의다람쥐	26	20	300	100	-4	s	1	0	0	10	-	@마력의다람쥐	1000
90	힘의다람쥐	26	5	300	100	-4	s	1	0	0	10	-	@힘의다람쥐	1000
91	민첩의다람쥐	26	8	300	100	-4	s	1	0	0	10	-	@민첩의다람쥐	1000
92	지력의다람쥐	26	21	300	100	-4	s	1	0	0	10	-	@지력의다람쥐	1000
93	날쌘다람쥐	26	11	300	100	-4	s	1	0	0	10	-	@날쌘다람쥐	1000
94	고개다람쥐	26	12	300	100	-4	s	1	0	0	10	-	@고개다람쥐	1000
95	문지기다람쥐	26	13	300	100	-4	s	1	0	0	10	-	@문지기다람쥐	1000
96	부자다람쥐	26	3	300	100	-4	s	1	0	0	10	-	@부자다람쥐	1000
97	행운의다람쥐	26	19	300	100	-4	s	1	0	0	10	-	@행운의다람쥐	1000
98	무적다람쥐	26	19	1350000	100	-20	s	1	175	0	10	-	@무적다람쥐	1000
99	최강다람쥐	26	8	1350000	100	-20	s	1	175	0	10	-	@최강다람쥐	1000
100	용왕다람쥐	26	28	300	100	-4	s	1	175	0	10	-	@용왕다람쥐	1000
101	방어의돼지	20	1	300	100	-5	s	1	0	95	105	-	@방어의돼지	1000
102	명중의돼지	20	2	300	100	-5	s	1	0	95	105	-	@명중의돼지	1000
103	공격의돼지	20	3	300	100	-5	s	1	0	95	105	-	@공격의돼지	1000
104	체력의돼지	20	4	300	100	-5	s	1	0	95	105	-	@체력의돼지	1000
105	마력의돼지	20	5	300	100	-5	s	1	0	95	105	-	@마력의돼지	1000
106	힘의돼지	20	6	300	100	-5	s	1	0	95	105	-	@힘의돼지	1000
107	민첩의돼지	20	7	300	100	-5	s	1	0	95	105	-	@민첩의돼지	1000
108	지력의돼지	20	8	300	100	-5	s	1	0	95	105	-	@지력의돼지	1000
109	착한돼지	21	30	300	100	-5	s	1	0	95	105	-	@착한돼지	1000
110	방어의뱀	27	0	100	100	70	s	1	0	10	20	-	@방어의뱀	1000
111	명중의뱀	27	2	100	100	70	s	1	0	10	20	-	@명중의뱀	1000
112	공격의뱀	27	3	100	100	70	s	1	0	10	20	-	@공격의뱀	1000
113	체력의뱀	27	4	100	100	70	s	1	0	10	20	-	@체력의뱀	1000
114	마력의뱀	27	5	100	100	70	s	1	0	10	20	-	@마력의뱀	1000
115	민첩의뱀	27	7	100	100	70	s	1	0	10	20	-	@민첩의뱀	1000
116	지력의뱀	27	8	100	100	70	s	1	0	10	20	-	@지력의뱀	1000
117	흑다람쥐	26	10	200000	100000	-30	s	1	0	14995	15005	-	@흑다람쥐	500
118	흑암사슴	89	10	200000	200000	-30	s	1	0	16995	17005	-	@흑암사슴	500
119	녹묘	450	10	4500	6000	0	s	0	0	65	70	-	-	1000
120	흑묘	450	10	4500	6000	0	s	0	0	65	70	-	-	1000
121	청묘	450	17	4600	6300	0	s	0	0	65	70	-	-	1000
122	적묘	450	31	4650	6300	0	s	0	0	65	70	-	-	1000
123	문백야묘	451	11	4700	7500	0	s	0	0	75	85	-	-	1000
124	표황야묘	451	12	4700	7500	0	s	0	0	75	85	-	-	1000
125	흑대묘	452	10	4800	15000	-10	s	0	0	85	90	-	-	1000
126	녹대묘	452	1	4850	18000	-10	s	0	0	85	90	-	-	1000
127	적대묘	452	31	5000	75000	-10	s	0	0	85	90	-	-	1000
128	흑악어	454	10	9000	37000	-20	s	0	0	45	55	-	@흑악어	1000
129	진갈악어	455	12	12000	82000	-20	s	0	0	345	355	-	@진갈악어	1000
130	녹악어	454	0	12000	82000	-20	s	0	0	345	355	-	@녹악어	1000
131	진녹악어	455	14	20000	150000	-20	s	0	0	445	455	-	@진녹악어	1000
132	진회악어	455	23	20000	150000	-20	s	0	0	445	455	-	@진회악어	1000
133	진적악어	455	31	20000	150000	-20	s	0	0	445	455	-	@진적악어	1000
134	흑살쾡이	462	10	40000	220000	-15	s	0	0	65	75	-	-	1000
135	적살쾡이	462	31	40000	220000	-15	s	0	0	65	75	-	-	1000
136	녹살쾡이	462	0	40000	220000	-15	s	0	0	65	75	-	-	1000
137	표청살쾡이	463	2	45000	330000	-15	s	0	0	75	85	-	-	1000
138	표황살쾡이	463	5	45000	330000	-15	s	0	0	75	85	-	-	1000
139	표갈살쾡이	463	4	45000	330000	-15	s	0	0	75	85	-	-	1000
140	외눈녹천구	466	0	52500	300000	-30	s	0	0	65	75	-	@외눈녹천구	1000
141	외눈황천구	466	5	52500	300000	-30	s	0	0	65	75	-	@외눈황천구	1000
142	외눈자천구	466	12	54000	350000	-30	s	0	0	75	85	-	@외눈자천구	1000
143	외눈청천구	466	17	55000	350000	-30	s	0	0	85	85	-	@외눈청천구	1000
144	흑혈후	470	10	160000	400000	-30	s	0	0	65	75	-	@흑혈후	1000
145	녹혈후	470	1	160000	400000	-30	s	0	0	65	75	-	@녹혈후	1000
146	흑선문후	471	10	150000	500000	-30	s	0	0	90	105	-	-	1000
147	녹선문후	471	0	150000	500000	-30	s	0	0	90	105	-	-	1000
148	아기강시	475	0	400000	600000	-45	s	1	0	1495	1505	-	@아기강시	1000
149	청색염유	532	8	3200	4500	20	s	1	0	35	45	-	@청색염유	1000
150	자색염유	532	7	3250	5000	20	s	1	0	35	45	-	@자색염유	1000
151	염구	517	4	3580	5000	20	s	1	0	65	75	-	@염구	1000
152	색명	517	6	3580	7000	20	s	1	0	65	75	-	-	1000
153	용고	517	8	3580	15000	10	s	1	0	65	75	-	@용고	1000
154	각단	517	10	8000	22000	10	s	1	0	65	75	-	@각단	1000
155	도삭산백사	27	11	1200	2000	40	s	1	10	9	19	-	-	1000
156	도삭산진백사	27	30	1280	2500	20	s	1	10	9	19	-	-	1000
157	도삭산독사	27	1	1480	2800	10	s	1	10	7	17	-	-	1000
158	도삭산구렁이	34	11	2000	3500	35	s	1	10	55	65	-	-	1000
159	도삭산토끼부하	22	30	4000	20000	0	s	1	10	35	45	-	@도삭산토끼부하	1000
160	도삭산불토끼	22	25	4300	25000	-10	s	1	10	35	45	-	@도삭산불토끼	1000
161	도삭산왕토끼	198	11	4500	40000	-10	s	1	10	45	55	-	-	1000
162	도삭산새끼게	400	0	4500	17000	10	s	1	10	45	55	-	-	1000
163	도삭산해파리부하	423	0	15000	100000	-20	s	1	10	100	110	-	@도삭산해파리부하	1000
164	도삭산해파리수하	424	0	16000	140000	-20	s	1	10	105	115	-	@도삭산해파리수하	1000
165	도삭산세발문어	406	0	23000	120000	-10	s	1	10	345	355	-	-	1000
166	도삭산흑묘	450	10	22000	90000	0	s	1	10	155	165	-	-	1000
167	도삭산적묘	450	31	20000	140000	0	s	1	10	145	155	-	-	1000
168	도삭산표황야묘	451	21	20000	180000	-10	s	1	10	185	195	-	-	1000
169	도삭산녹대묘	452	1	24000	200000	-10	s	1	10	175	185	-	-	1000
170	도삭산적살쾡이	462	31	32500	180000	-15	s	1	10	345	355	-	@도삭산적살쾡이	1000
171	도삭산녹살쾡이	462	0	22000	220000	-15	s	1	10	475	485	-	@도삭산녹살쾡이	1000
172	도삭산표청살쾡이	463	2	34000	250000	-15	s	1	10	325	335	-	-	1000
173	도삭산흑악어	454	10	36000	200000	-20	s	1	10	435	445	-	@도삭산흑악어	1000
174	도삭산녹악어	454	0	37000	270000	-20	s	1	10	445	455	-	@도삭산녹악어	1000
175	도삭산진적악어	455	31	38000	300000	-20	s	1	10	445	455	-	-	1000
176	암사슴	89	5	95	80	75	s	1	0	5	15	-	@암사슴	1300
177	시궁쥐	91	10	300	150	75	s	1	0	8	10	-	@시궁쥐	1000
178	늑대	24	10	70	640	20	s	1	0	30	50	-	-	1300
300	숫사슴	90	5	95	80	75	l	1	0	10	20	-	@숫사슴	1300
301	말	18	3	500	640	1	l	1	0	10	40	-	-	1200
302	소	28	5	650	900	35	l	1	0	20	60	-	-	1400
303	큰쥐	92	10	200	55	0	l	1	0	10	15	-	@큰쥐	1000
304	빨간박쥐	106	31	800	600	75	l	0	0	20	30	-	@빨간박쥐	1000
305	보라박쥐	106	7	1000	800	75	l	1	0	20	30	-	@보라박쥐	1000
306	파란박쥐	106	2	1300	900	75	l	0	0	20	30	-	@파란박쥐	1000
307	흡혈쥐	92	31	1000	1500	75	l	0	0	78	82	-	@흡혈쥐	1000
308	서생원	92	1	1000	2000	75	l	0	0	78	82	-	@서생원	1000
309	자생원	318	0	1000	2200	75	l	0	0	78	82	-	@자생원	1000
310	박쥐	106	10	500	150	75	l	1	0	20	30	-	@박쥐	1000
311	왕구렁이	34	5	6666	5555	35	l	0	0	58	62	-	@왕구렁이	1000
312	구렁이	34	11	2000	4444	0	l	0	0	58	62	-	@구렁이	1000
313	흑광록	90	10	1400	3500	70	l	1	0	38	42	-	@흑광록	1000
314	백광록	90	11	1500	4300	70	l	1	0	38	42	-	@백광록	1000
315	광록지수	90	7	1600	10000	70	l	1	0	93	97	-	@광록지수	1000
316	산돼지	154	11	1500	2500	30	l	0	0	68	72	-	@산돼지	1000
317	숲돼지	154	7	2000	4500	20	l	0	0	70	74	-	@숲돼지	1000
318	홍돼지	154	31	5000	25000	0	l	0	0	83	87	-	@홍돼지	1000
319	구미호	35	11	9999	50000	-10	l	0	10	88	92	@구미호공격	@구미호	1000
320	불구미호	35	25	19999	70000	-10	l	0	10	88	82	-	@불구미호	1000
321	평웅	25	5	1200	1800	30	l	0	0	48	52	-	@평웅	1100
322	진웅	25	7	1500	2500	30	l	0	0	48	52	-	@진웅	1100
323	평호	30	5	1100	3000	30	l	0	0	48	52	-	@평호	1100
324	진호	30	7	5000	10000	0	l	0	0	53	57	-	@진호	1100
325	자호	30	2	5000	25000	0	l	0	0	68	72	-	@자호	1100
326	친자호	30	8	5800	35000	-10	l	0	0	148	152	-	@친자호	1100
327	구자호	30	6	6300	38000	-10	l	0	0	118	122	-	@구자호	1100
328	적호	30	31	10000	100000	-10	l	0	0	348	352	-	@적호	900
329	목각인형	193	4	17000	110000	-13	l	0	0	230	270	-	@목각인형	1100
330	양철인형	193	2	19000	170000	-15	l	0	0	230	270	-	@양철인형	1100
331	에메랄드인형	193	0	19000	270000	-20	l	0	0	480	520	-	@에메랄드인형	1100
332	인형술사	194	10	40000	370000	-30	l	0	0	980	1020	-	@인형술사	1100
333	거미	98	0	8000	55000	-10	l	0	0	155	165	-	@거미	1100
334	사마귀	99	0	8000	85000	-10	l	0	0	175	185	-	@사마귀	1100
335	백현귀	98	5	10000	300000	-10	l	0	0	77	87	-	@백현귀	1100
336	현랑귀	99	31	10000	500000	-10	l	0	0	70	80	-	@현랑귀	1100
337	가재	169	2	8000	55000	-10	l	0	0	140	180	-	@가재	1100
338	가재장	169	15	8500	60000	-10	l	0	0	380	420	-	@가재장	1100
339	전갈	172	2	8000	85000	-10	l	0	0	160	200	-	@전갈	1100
340	전갈장	172	15	8500	95000	-10	l	0	0	400	440	-	@전갈장	1100
341	서현가재	169	10	8000	100000	-10	l	0	0	210	250	-	@서현가재	1100
342	백현재	169	6	35000	300000	-10	l	0	0	280	320	-	@백현재	1100
343	백현장	169	5	10000	350000	-10	l	0	0	800	840	-	@백현장	1100
344	현랑장	172	5	10000	380000	-10	l	0	0	730	770	-	@현랑장	1100
345	현랑전갈	172	31	12000	500000	-10	l	0	0	730	770	-	@현랑전갈	1100
346	해골	31	3	18000	130000	-15	l	0	0	100	150	-	@해골	1100
347	칼든해골	32	3	19000	130000	-15	l	0	0	150	170	-	@칼든해골	1100
348	해골전사	32	15	20000	200000	-20	l	0	0	150	170	-	@해골전사	1100
349	해골도적	32	22	20000	200000	-20	l	0	0	150	170	-	@해골도적	1100
350	해골마법사	31	14	20000	200000	-20	l	0	0	150	170	-	@해골마법사	1100
351	불산	31	17	30000	300000	-30	l	0	0	595	605	-	@불산	1100
352	유령	168	2	18000	130000	-15	l	0	0	180	220	-	@유령	1100
353	중급유령	168	29	15000	130000	-15	l	0	0	230	270	-	@중급유령	1100
354	고급유령	168	2	20000	166000	-15	l	0	0	250	290	-	@고급유령	1100
355	유령전사	168	29	20000	200000	-20	l	0	0	2100	2500	-	@유령전사	1100
356	유령도적	168	29	20000	200000	-20	l	0	0	2100	2500	-	@유령도적	1100
357	유령마법사	168	2	20000	200000	-20	l	0	0	2100	2500	-	@유령마법사	1100
358	불연	168	17	30000	300000	-20	l	0	0	2100	2500	-	@불연	1100
359	흑해골	31	10	20000	170000	-15	l	0	0	200	250	-	@흑해골	1100
360	자해골	31	7	30000	200000	-25	l	0	0	200	250	-	-	1100
361	지해골	31	12	31000	200000	-25	l	0	0	200	250	-	-	1100
362	주해골	31	-1	32000	250000	-25	l	0	0	200	250	-	-	1100
363	사해골	32	-1	35000	250000	-25	l	0	0	200	250	-	@사해골	1100
364	원각	32	10	40000	350000	-10	l	0	0	500	600	-	@원각	1100
365	흑령	168	10	20000	170000	-15	l	0	0	100	150	-	@흑령	1100
366	자령	168	7	30000	200000	-25	l	0	0	200	250	-	-	1100
367	지령	168	12	30000	200000	-25	l	0	0	210	250	-	-	1100
368	주령	168	7	30000	200000	-25	l	0	0	210	250	-	-	1100
369	사령	168	13	30000	250000	-20	l	0	0	210	250	-	@사령	1100
370	원령	168	21	40000	350000	-10	l	0	0	210	250	-	@원령	1100
371	도깨비	100	0	38000	300000	-24	l	0	0	380	420	-	@도깨비	1100
372	도깨비불	97	0	38000	300000	-24	l	0	0	310	450	-	@도깨비불	1100
373	사명비	100	8	40000	550000	-30	l	0	0	1300	1340	-	@사명비	1100
374	적명비	100	31	40000	550000	-30	l	0	0	1300	1340	-	@적명비	1100
375	자명비	100	7	45000	300000	-30	l	0	0	1300	1340	-	@자명비	1100
376	청명비	100	2	40000	550000	-30	l	0	0	1300	1340	-	@청명비	1100
377	녹명비	100	0	52000	600000	-30	l	0	0	1350	1390	-	@녹명비	1100
378	도깨비왕	186	8	400000	999999	-50	l	0	0	1300	1340	-	@도깨비왕	800
379	일본밀정'검	150	2	30000	380000	-35	l	0	20	1000	1400	-	@일본밀정'검	900
380	일본밀정'유	150	13	35000	450000	-35	l	0	20	1300	1700	-	@일본밀정'유	900
381	일본밀정'수	150	0	40000	500000	-35	l	0	20	1300	1700	-	@일본밀정'수	900
382	일본밀정두목	189	0	60000	900000	-45	l	1	50	2800	3200	-	@일본밀정두목	900
383	몽달귀신	114	0	50000	650000	-49	l	0	18	1000	1250	-	@몽달귀신	900
384	독충	115	4	50000	600000	-44	l	0	18	795	805	-	@독충	900
385	빗자루귀신	112	0	50000	700000	-54	l	0	18	1200	1500	-	@빗자루귀신	900
386	처녀귀신	111	0	50000	650000	-49	l	0	18	1000	1250	-	@처녀귀신	900
387	달걀귀신	116	0	50000	600000	-44	l	0	18	800	1200	-	@달걀귀신	900
388	불귀신	113	25	50000	700000	-54	l	0	18	1200	1500	-	@불귀신	900
390	갈달걀귀신	116	3	50000	600000	-44	l	0	18	800	1200	-	@갈달걀귀신	900
391	연갈달걀귀신	116	4	50000	600000	-44	l	0	18	800	1200	-	@연갈달걀귀신	900
392	연자달걀귀신	116	30	50000	600000	-44	l	0	18	800	1200	-	@연자달걀귀신	900
393	자달걀귀신	116	15	50000	600000	-44	l	0	18	800	1200	-	@자달걀귀신	900
394	연청달걀귀신	116	10	50000	600000	-44	l	0	18	800	1200	-	@연청달걀귀신	900
395	황달걀귀신	116	26	50000	600000	-44	l	0	18	800	1200	-	@황달걀귀신	900
396	적달걀귀신	116	27	50000	600000	-44	l	0	18	800	1200	-	@적달걀귀신	900
397	연녹달걀귀신	116	10	50000	600000	-44	l	0	18	800	1200	-	@연녹달걀귀신	900
398	청달걀귀신	116	19	50000	600000	-44	l	0	18	800	1200	-	@청달걀귀신	900
399	황충	115	1	50000	600000	-44	l	0	18	795	805	-	@황충	900
400	적충	115	2	50000	600000	-44	l	0	18	795	805	-	@적충	900
401	연녹충	115	3	50000	600000	-44	l	0	18	795	805	-	@연녹충	900
402	청충	115	5	50000	600000	-44	l	0	18	795	805	-	@청충	900
403	회충	115	6	50000	600000	-44	l	0	18	795	805	-	@회충	900
404	갈충	115	7	50000	600000	-44	l	0	18	795	805	-	@갈충	900
405	연갈충	115	8	50000	600000	-44	l	0	18	795	805	-	@연갈충	900
406	연자충	115	9	50000	600000	-44	l	0	18	795	805	-	@연자충	900
407	자충	115	10	50000	600000	-44	l	0	18	795	805	-	@자충	900
409	검랑	573	28	30000	280000	-15	l	0	0	225	235	-	@검랑	1000
410	진인랑	571	0	100000	500000	-20	l	0	0	495	505	-	@진인랑	1000
411	병사지주	567	0	70000	550000	-40	l	0	0	745	755	-	@병사지주	1000
412	식인종전사	586	0	70000	730000	-35	l	0	0	695	705	-	@식인종전사	1000
413	식인종추장후계자	585	0	85000	840000	-50	l	0	0	1295	1305	-	@식인종추장후계자	1000
414	식인종추장	584	0	150000	2200000	-50	l	0	0	13445	13445	-	@식인종추장	1000
415	낭아독사	579	0	79000	980000	-40	l	0	0	1695	1705	-	@낭아독사	1000
416	종성인성초	581	0	400000	2100000	20	l	0	0	6595	6605	-	@종성인성초	1000
417	해적선원의망령	592	0	450000	2200000	-60	l	0	50	3795	3805	-	@해적선원의망령	1000
418	해적갑판장의망령	591	0	500000	3000000	-65	l	0	50	5895	5905	-	@해적갑판장의망령	800
419	해적선장의망령	590	0	6100000	9000000	-40	l	0	50	44995	45005	-	@해적선장의망령	1000
420	상점가포악중성인성초	582	6	800	4000	0	l	0	0	495	505	-	@상점가포악중성인성초	1000
421	상점가흉폭중성인성초	583	3	800	2000	0	l	0	0	495	505	-	@상점가흉폭중성인성초	1000
422	폭염룡	595	0	120000	1200000	-80	l	0	0	1495	1505	-	@폭염룡	1000
423	폭염익룡	593	0	130000	1400000	-80	l	0	0	1795	1805	-	@폭염익룡	1000
424	돼지왕	140	0	20000	300000	-64	l	0	110	495	505	-	@돼지왕	1000
425	닭왕	138	0	19000	180000	-34	s	1	110	995	1005	-	@닭왕	1000
426	킹콩	128	23	6750	400000	-65	l	0	0	445	445	-	@킹콩	1100
427	유인원	128	4	6750	400000	-65	l	0	0	445	445	-	@유인원	1100
428	오랑우탄	128	6	50000	400000	-65	l	0	0	2295	2305	-	@오랑우탄	1100
429	원숭이왕	137	0	50000	500000	-70	l	1	0	795	805	-	@원숭이왕	1100
430	코뿔소	124	28	40000	500000	-50	l	0	0	1445	1455	-	@코뿔소	1000
431	황소	28	30	25000	350000	-20	l	0	0	1245	1255	-	@황소	1000
432	까만소	28	28	30000	420000	-34	l	0	0	1445	1455	-	@까만소	1000
433	소왕	130	0	50000	400000	-45	l	1	100	845	855	-	@소왕	1000
434	개왕	139	0	50000	300000	-24	l	1	100	1345	1355	-	-	1000
435	나도양	136	10	60000	350000	-44	l	0	0	745	755	-	-	1000
436	내가양	136	2	60000	300000	-44	l	0	0	745	756	-	-	1000
437	난양	136	0	70000	400000	-44	l	0	0	945	955	-	-	1000
438	양왕	136	0	40000	800000	-44	l	0	100	295	305	-	@양왕	1000
439	아마	135	2	35000	300000	-44	l	0	0	1295	1305	-	-	1000
440	바마	135	5	35000	350000	-44	l	0	0	1295	1305	-	-	1000
441	태마	135	6	35000	400000	-44	l	0	0	1295	1305	-	-	1000
442	말왕	135	0	50000	800000	-44	l	0	100	295	305	-	@말왕	1000
443	두꺼비	287	0	30000	400000	-15	l	0	150	395	785	-	@두꺼비	600
444	일본게	288	0	40000	400000	-15	l	0	150	215	925	-	@일본게	600
445	이가닌자'병	271	0	120000	1200000	-20	l	0	150	13515	13525	-	@이가닌자'병	1000
446	이가닌자'화	277	0	120000	1250000	-20	l	0	150	13515	13525	-	@이가닌자'화	1000
447	이가닌자'마	278	0	120000	1300000	-20	l	0	150	13515	13525	-	@이가닌자'마	1000
448	이가닌자'영	279	0	120000	1350000	-20	l	0	150	13515	13525	-	@이가닌자'영	1000
449	이가닌자'수	275	0	120000	1400000	-20	l	0	150	13515	13525	-	@이가닌자'수	1000
450	신로	260	0	20000	112500	-10	l	0	0	215	225	-	-	1000
451	마옥	261	0	25000	180000	-30	l	0	0	315	325	@나막신던지기	@마옥	1000
452	야문	266	2	30000	300000	-30	l	0	0	315	325	-	-	1000
453	코가닌자'체	264	0	300	150000	-10	l	0	150	295	305	-	-	1000
454	코가닌자'기	263	0	950	525000	-15	l	0	150	295	305	-	-	1000
455	코가닌자'약	262	0	1000	600000	-30	l	0	150	295	305	-	-	1000
456	병사의망령	267	0	2000000	15000000	-15	l	0	150	23515	23525	-	-	1000
457	무사의망령	267	31	2000000	15000000	-15	l	0	150	23515	23525	-	-	1000
458	대장군의망령	267	18	2000000	15000000	-15	l	0	150	23515	23525	@장군의저주	@대장군의망령	1000
459	선월	272	0	2000	150000	-20	l	0	0	145	155	-	-	1000
460	기보	286	0	30000	180000	-25	l	0	0	1495	1505	-	-	1000
461	이광	273	0	32500	300000	-30	l	0	0	2295	2305	-	@이광	1000
