//이름	클릭	이벤	구매	판매	보관	성황	명명	수리
장훈떡쇠	장훈떡쇠	-	22	23	0	0	1	1
국내떡쇠	국내떡쇠	-	22	23	0	0	1	1
나무꾼	나무꾼	-	-	-	0	0	0	0
금고주인	금고주인	-	-	-	0	0	0	0
영채	영채	영채방송쿠폰충전	-	-	0	0	0	0
장돌뱅이	장돌뱅이	-	-	-	0	0	0	0
무두	무두	-	-	-	0	0	0	0
미궁상점	미궁상점	-	-	-	0	0	0	0
열쇠교환상	열쇠교환상	-	-	-	0	0	0	0
떡쇠마누라	떡쇠마누라	-	-	-	0	0	0	0
채희	채희	-	-	-	0	0	0	0
건포상	건포상	-	-	-	0	0	0	0
부여성떡쇠	부여성떡쇠	-	22	23	0	0	1	1
털보	털보	-	22	23	0	0	1	1
부여갑옷점	부여갑옷점	-	19	19	0	0	0	0
부여포목	부여포목	-	10	10	0	0	0	0
떼보	떼보	-	19	19	0	0	0	0
시계장인	시계장인	-	-	-	0	0	0	0
홍보지급	홍보지급	-	-	-	0	0	0	0
상자교환	상자교환	-	-	-	0	0	0	0
사냥이벤트입장	사냥이벤트입장	-	-	-	0	0	0	0
생존이벤트입장	생존이벤트입장	-	-	-	0	0	0	0

//국내성
왈숙네	왈숙네	-	62	63	1	0	0	0
비단장수	비단장수	-	64	65	0	0	0	0
고구려왕	고구려왕	-	-	-	0	0	0	0
백삼	백삼	-	99	100	0	0	0	0
백이	백이	-	97	98	0	0	0	0
고구려무도가	고구려무도가	-	-	-	0	0	0	0
고구려선원	고구려선원	-	-	-	0	0	0	0
무달	무달	-	-	-	0	0	0	0
벽돌장수	벽돌장수	-	103	104	0	0	0	0
주례사	주례사	-	-	-	0	0	0	0
혼례식도우미	혼례식도우미	-	111	112	0	0	0	0
국내포목	국내포목	-	10	10	0	0	0	0

//극지방
천금장인	천금장인	-	-	-	0	0	0	0
한빙장	한빙장	-	-	-	0	0	0	0

// 직업관련
직업전사	직업전사	-	-	-	0	0	0	0
직업도적	직업도적	-	-	-	0	0	0	0
직업술사	직업술사	-	-	-	0	0	0	0
직업도사	직업도사	-	-	-	0	0	0	0

// 도우미
부여성북문도우미	부여성북문도우미	-	-	-	0	0	0	0
초보사냥도우미	초보사냥도우미	-	-	-	0	0	0	0
쥐굴도우미	쥐굴도우미	-	-	-	0	0	0	0
사슴굴도우미	사슴굴도우미	-	-	-	0	0	0	0
곰굴도우미	곰굴도우미	-	-	-	0	0	0	0
돼지굴도우미	돼지굴도우미	-	-	-	0	0	0	0
여우굴도우미	여우굴도우미	-	-	-	0	0	0	0
자호굴도우미	자호굴도우미	-	-	-	0	0	0	0
사마귀굴도우미	사마귀굴도우미	-	-	-	0	0	0	0
전갈굴도우미	전갈굴도우미	-	-	-	0	0	0	0
인형굴도우미	인형굴도우미	-	-	-	0	0	0	0
유령굴도우미	유령굴도우미	-	-	-	0	0	0	0
해골굴도우미	해골굴도우미	-	-	-	0	0	0	0
흑령굴도우미	흑령굴도우미	-	-	-	0	0	0	0
흑해골굴도우미	흑해골굴도우미	-	-	-	0	0	0	0
비밀세작도우미	비밀세작도우미	-	-	-	0	0	0	0
물망동도우미	물망동도우미	-	-	-	0	0	0	0
백륜동도우미	백륜동도우미	-	-	-	0	0	0	0
흉가도우미	흉가도우미	-	-	-	0	0	0	0

//도삭산
도삭산100층주모	도삭산100층주모	-	24	25	1	0	0	0
도삭산200층주모	도삭산200층주모	-	26	27	1	0	0	0
도삭산300층주모	도삭산300층주모	-	28	29	1	0	0	0
도삭산400층주모	도삭산400층주모	-	30	31	1	0	0	0
도삭산500층주모	도삭산500층주모	-	32	33	1	0	0	0
도삭산600층주모	도삭산600층주모	-	34	35	1	0	0	0
도삭산700층주모	도삭산700층주모	-	36	37	1	0	0	0
도삭산800층주모	도삭산800층주모	-	38	39	1	0	0	0
도삭산900층주모	도삭산900층주모	-	40	41	1	0	0	0
도재영	도재영	-	-	-	0	0	0	0
도성연	도성연	-	-	-	0	0	0	0
도주영	도주영	-	-	-	0	0	0	0
도태연	도태연	-	-	-	0	0	0	0
하문주	하문주	-	-	-	0	0	0	0
황만령	황만령	-	-	-	0	0	0	0
우가풍	우가풍	-	-	-	0	0	0	0
하태현	하태현	-	-	-	0	0	0	0
마석주	마석주	-	-	-	0	0	0	0

// 12지신의유적
폭12지입장	폭12지입장	-	-	-	0	0	0	0
방송쿠폰	방송쿠폰	-	-	-	0	0	0	0
용노인	용노인	-	-	-	0	0	0	0
조왕의동생	조왕의동생	-	-	-	0	0	0	0
수선도사	수선도사	-	-	-	0	0	0	0
천선도사	천선도사	-	-	-	0	0	0	0
주몽	-	주몽_say	-	-	0	0	0	0
마리	-	마리_say	-	-	0	0	0	0
오이	-	오이_say	-	-	0	0	0	0
협부	-	협부_say	-	-	0	0	0	0
천명체크	-	천명체크_say	-	-	0	0	0	0

// ???
랑구륜	승급	-	-	-	0	0	0	0
은구륜	승급전사	-	-	-	0	0	0	0
부구륜	승급도적	-	-	-	0	0	0	0
천성현	천성현	-	-	-	0	0	0	0
천성랑	천성랑	-	-	-	0	0	0	0
정구륜	승급술사	-	-	-	0	0	0	0
선구륜	승급도사	-	-	-	0	0	0	0

// 일본
일본소소	일본소소	-	-	-	0	0	0	0
파괴왕	파괴왕	-	-	-	0	0	0	0
일본포목상	일본포목상	-	58	59	0	0	0	0
안도	안도	-	-	-	0	0	0	0
표신궁역사가	표신궁역사가	-	-	-	0	0	0	0
호위무사	호위무사	-	-	-	0	0	0	0

//용궁
용왕	용왕	-	-	-	0	0	0	0
좌선녀	좌선녀	-	-	-	0	0	0	0
거북장군	거북장군	-	-	-	0	0	0	0
우선녀	우선녀	-	-	-	0	0	0	0

// 중국
무타	무타	-	-	-	0	0	0	0
장안황제	장안황제	-	-	-	0	0	0	0
망치상인	망치상인	-	56	57	0	0	0	0
대방갑옷	대방갑옷	-	68	69	0	0	0	0
낙양갑옷	낙양갑옷	-	70	71	0	0	0	0
현도갑옷	현도갑옷	-	72	73	0	0	0	0
장안갑옷	장안갑옷	-	74	75	0	0	0	0
상해갑옷	상해갑옷	-	76	78	0	0	0	0
남부갑옷	남부갑옷	-	79	80	0	0	0	0
중국주모	중국주모	-	81	82	1	0	0	0
대방성주모	중국주모	-	113	114	1	0	0	0
마타	마타	-	-	-	0	0	0	0
돈유합의달인	돈유합의달인	-	-	-	0	0	0	0
중국공주	중국공주	-	-	-	0	0	0	0
소림사승려	소림사승려	-	-	-	0	0	0	0
산소소탕병사	산소소탕병사	-	-	-	0	0	0	0
산소소탕대장	산소소탕대장	-	-	-	0	0	0	0
서천좌상	서천좌상	-	-	-	0	0	0	0
장안성대장간	장안성대장간	-	105	106	0	0	0	0
대방성푸줏간	대방성푸줏간	-	107	108	0	0	0	0
현도성푸줏간	현도성푸줏간	-	109	110	0	0	0	0
광동성푸줏간	광동성푸줏간	-	115	116	0	0	0	0
장안성장군	장안성장군	-	-	-	0	0	0	0
상해주민	상해주민	-	-	-	0	0	0	0
남천좌상	남천좌상	-	-	-	0	0	0	0
병든아이어머니	병든아이어머니	-	-	-	0	0	0	0
복건성태자	복건성태자	-	-	-	0	0	0	0
병든아이	병든아이	-	-	-	0	0	0	0
보약의달인	보약의달인	-	-	-	0	0	0	0
주경원	주경원	-	-	-	0	0	0	0
천선도사	천선도사	-	-	-	0	0	0	0

//흉노상점
흉노상점1	흉노상점1	-	89	90	0	0	0	0
흉노상점2	흉노상점2	-	91	92	0	0	0	0
흉노상점3	흉노상점3	-	93	94	0	0	0	0
흉노상점4	흉노상점4	-	95	96	0	0	0	0

//환상의섬
환상의섬대장장이	환상의섬대장장이	-	50	51	0	0	1	1
환상의섬포목상	환상의섬포목상	-	-	-	52	53	0	0
환상의섬잡화	환상의섬잡화	-	-	-	54	55	0	0
고균도푸줏간	고균도푸줏간	-	60	61	0	0	0	0
원주민주술사	원주민주술사	-	-	-	0	0	0	0
전전	전전	-	-	-	0	0	0	0
먹염	먹염	-	-	-	0	0	0	0
파바로	파바로	-	-	-	0	0	0	0
주막행자	주막행자	-	-	-	0	0	0	0
남문행자	남문행자	-	-	-	0	0	0	0
선착행자	선착행자	-	-	-	0	0	0	0
고균도선착행자	고균도선착행자	-	-	-	0	0	0	0
진백랑	진백랑	-	-	-	0	0	0	0
진진	진진	-	-	-	0	0	0	0
퉁퉁대감	퉁퉁대감	-	-	-	0	0	0	0
통통대감	통통대감	-	-	-	0	0	0	0
탕탕대감	탕탕대감	-	-	-	0	0	0	0
준준	준준	-	-	-	0	0	0	0
조염	조염	-	-	-	0	0	0	0
한상약	한상약	-	-	-	0	0	0	0
원주민정령사	원주민정령사	-	-	-	0	0	0	0
돌돌이	돌돌이	-	-	-	0	0	0	0
돌순이	돌순이	-	-	-	0	0	0	0

//북방대초원
북천황신수	북천황신수	-	-	-	0	0	0	0
북방상점1	북방상점1	-	42	43	0	0	0	0
북방상점2	북방상점2	-	44	45	0	0	0	0
북방상점3	북방상점3	-	46	47	0	0	0	0
북방상점4	북방상점4	-	48	49	0	0	0	0
사천족제사장	사천족제사장	-	-	-	0	0	0	0
백의장인	백의장인	-	-	-	0	0	0	0

//신부여성
신부여주모	신부여주모	-	0	1	1	1	0	0

//선착장
부여섬뱃사공	부여섬뱃사공	-	-	-	0	0	0	0
부여섬선원	부여섬선원	부여섬선원배	-	-	0	0	0	0
부여고균도매표상	부여고균도매표상	-	85	86	0	0	0	0
암표상	암표상	-	-	-	0	0	0	0
고구려섬뱃사공	고구려섬뱃사공	-	-	-	0	0	0	0
고구려섬선원	고구려섬선원	고구려섬선원배	-	-	0	0	0	0
고구려고균도매표상	고구려고균도매표상	-	87	88	0	0	0	0
부여-일본섬선원	부여-일본섬선원	부여일본섬선원배	-	-	0	0	0	0
부여-일본섬뱃사공	부여-일본섬뱃사공	-	-	-	0	0	0	0
고구려-일본섬선원	고구려-일본섬선원	고구려일본섬선원배	-	-	0	0	0	0
고구려-일본섬뱃사공	고구려-일본섬뱃사공	-	-	-	0	0	0	0
배	배	-	-	-	0	0	0	0
말단선원	말단선원	-	-	-	0	0	0	0
부여-메마른섬선원	부여-메마른섬선원	부여메마른섬선원배	-	-	0	0	0	0

//공성
주작성문지기	주작성문지기	-	-	-	0	0	0	0
청룡성문지기	청룡성문지기	-	-	-	0	0	0	0
현무성문지기	현무성문지기	-	-	-	0	0	0	0
백호성문지기	백호성문지기	-	-	-	0	0	0	0
공성타이머	-	공성타이머	-	-	0	0	0	0
성문문지기1	-	성문문지기1	-	-	0	0	0	0
성문문지기2	-	성문문지기2	-	-	0	0	0	0
성문문지기3	-	성문문지기3	-	-	0	0	0	0
성문문지기4	-	성문문지기4	-	-	0	0	0	0
성문문지기5	-	성문문지기5	-	-	0	0	0	0
성문문지기6	-	성문문지기6	-	-	0	0	0	0
성문문지기7	-	성문문지기7	-	-	0	0	0	0
성문문지기8	-	성문문지기8	-	-	0	0	0	0
//이벤트의류
허상장인	허상장인	-	-	-	0	0	0	0
레이드시작	@레이드시작	-	-	-	0	0	0	0
보스시작	@보스시작	-	-	-	0	0	0	0
보스	@보스	@보스말하기	-	-	0	0	0	0
보스이	@보스	@보스말하기이	-	-	0	0	0	0
//신수성포목상
주작포목상	주작포목상	-	125	-	0	0	0	0
현무포목상	현무포목상	-	126	-	0	0	0	0
청룡포목상	청룡포목상	-	127	-	0	0	0	0
백호포목상	백호포목상	-	128	-	0	0	0	0

//6차승급
늙은장군	6차승급	-	-	-	0	0	0	0
이무기의방입장	이무기의방입장	-	-	-	0	0	0	0


아지트1입장	아지트1입장	-	-	-	0	0	0	0
아지트2입장	아지트2입장	-	-	-	0	0	0	0
아지트3입장	아지트3입장	-	-	-	0	0	0	0
아지트4입장	아지트4입장	-	-	-	0	0	0	0
아지트5입장	아지트5입장	-	-	-	0	0	0	0
아지트6입장	아지트6입장	-	-	-	0	0	0	0
아지트7입장	아지트7입장	-	-	-	0	0	0	0
아지트8입장	아지트8입장	-	-	-	0	0	0	0


한왕초왕상인	한왕초왕상인	-	19	-	0	0	0	0
천신선인	천신선인	-	-	-	0	0	0	0
선인	선인	-	-	-	0	0	0	0

슛돌이	슛돌이	-	-	-	0	0	0	0

구양성입장	구양성입장	-	-	-	0	0	0	0

배달부	소포	-	-	-	0	0	0	0
청룡성	청룡성	-	-	-	0	0	0	0
주작성	주작성	-	-	-	0	0	0	0
경마쟁이	경마관리인	-	-	-	0	0	0	0
일본전설무기강화장인	일본전설무기강화장인	-	-	-	0	0	0	0
중국전설무기강화장인	중국전설무기강화장인	-	-	-	0	0	0	0
//오녀산성
제1시간의문	제1시간의문	비영경이펙트	0	0	0	0	0	0
제2시간의문	제2시간의문	비영경이펙트	0	0	0	0	0	0
제3시간의문	제3시간의문	비영경이펙트	0	0	0	0	0	0
제4시간의문	제4시간의문	비영경이펙트	0	0	0	0	0	0
제5시간의문	제5시간의문	비영경이펙트	0	0	0	0	0	0
제6시간의문	제6시간의문	비영경이펙트	0	0	0	0	0	0
제7시간의문	제7시간의문	비영경이펙트	0	0	0	0	0	0
오녀산성제단	오녀산성제단	-	0	0	0	0	0	0
오녀산성예언자	오녀산성예언자	-	0	0	0	0	0	0
제1시간의문수호자	제1시간의문수호자	-	0	0	0	0	0	0
제2시간의문수호자	제2시간의문수호자	-	0	0	0	0	0	0
제3시간의문수호자	제3시간의문수호자	-	0	0	0	0	0	0
제4시간의문수호자	제4시간의문수호자	-	0	0	0	0	0	0
제5시간의문수호자	제5시간의문수호자	-	0	0	0	0	0	0
제6시간의문수호자	제6시간의문수호자	-	0	0	0	0	0	0
제7시간의문수호자	제7시간의문수호자	-	0	0	0	0	0	0
