//템번	아이템	타입	이미지	착용	염색	최대	내구력	가격	힘제한	민제한	지제한	성별제	레벨제	직업제	승급제	죽었을	버리기가능(=교환여부)	수리여부	수리비용	맡김비용	명명비용	착용스크립트	착용해제스크립트	사용(공격)스크립트	툴팁	설명	공격력																									
//공용무기
29	풍의제일검	0	757	25	0	0	20	10	0	0	0	0	30	0	0	2	1	0	0	10000	10000	-	-	-	-	폭풍의 기운이 담긴 불가사의한 검	1
30	풍의제이검	0	757	25	0	0	20	10	0	0	0	0	40	0	0	2	1	0	0	10000	10000	-	-	-	-	폭풍의 기운이 담긴 불가사의한 검	2
31	풍의제삼검	0	757	25	0	0	20	10	0	0	0	0	40	0	0	2	1	0	0	10000	10000	-	-	-	-	폭풍의 기운이 담긴 불가사의한 검	3
55	수련봉	0	2581	10060	0	0	10000	10000	0	0	0	0	5	0	0	0	1	1	0.4	100	1000	-	-	-	-	봉술을 수련하기에 알맞게 만들어진 봉	2
56	수련검	0	2580	159	0	0	10000	10000	0	0	0	0	5	0	0	0	1	1	0.4	0	4000	-	-	-	-	검술을 수련할 때 사용하기 위해만들어진 검	2
521	무쌍현랑부	0	788	41	0	0	5000000	0	0	0	0	0	75	0	0	2	1	0	0.1	6	50	-	-	-	-	한층 더 무시무시한 모습이 된 현랑부	11
522	청명백현모	0	666	10011	0	0	5000000	10	0	0	0	0	75	0	0	2	1	0	0	70000	7000	-	-	-	-	3개의 백현모에 축적된 지혜가 한 데 모아져 있다	12
523	염인백화검	0	777	30	0	0	5000000	0	0	0	0	0	75	0	0	2	1	0	0.1	6	50	-	-	-	-	타오르는 듯한 파괴적인 모습의 명검	15
524	극경도깨비봉	0	787	40	0	0	5000000	0	0	0	0	0	75	0	0	2	1	0	0.1	6	50	-	-	-	-	도깨비들이 휘둘렀다는 이야기가 전해진다	18
//전사무기
1000	환두대도	0	47	5	0	0	500000	100000	0	0	0	0	75	1	0	1	1	0	0	10000	30000	-	-	-	-	칼자루 끝을 고리 형태로 만든 대도	13
1001	환두대검	0	1156	66	0	0	500000	10	0	0	0	0	75	1	0	0	1	1	1	10000	100000	-	-	-	-	칼자루 끝을 고리 형태로 만든 대검	15
1002	진성검	0	1157	68	0	0	500000	10	0	0	0	0	75	1	0	0	1	1	0.6	3000	30000	-	-	-	-	별이 떨어진 곳에서 나왔다는 이야기가 전해지는 빛나는 검	18
1003	현철중검	0	649	22	0	0	400000	4000	0	0	0	0	0	1	0	0	1	1	0.5	150	1500	-	-	-	-	현철로 만들어진 거대한 검	10
1004	흑철중검	0	794	47	0	0	500000	10	0	0	0	0	56	1	0	0	1	1	0.015	500	5000	-	-	-	-	야월도로 갈아 날카로움을 갖게한 현철중검	12
1005	아광검	0	639	8	0	0	5000000	10	0	0	0	0	99	1	0	1	1	0	0	10000	100000	-	-	-	-	-	18
1006	진아광검	0	639	8	0	0	5000000	10	0	0	0	0	99	1	0	2	1	0	0	10000	10000	-	-	-	-	아광검의 진정한 모습	20
1007	황호박별검	0	1890	108	0	0	2000000	10	0	0	0	0	99	1	0	2	1	1	0.01	1000	10000	-	-	-	-	노란색 호박별을 제련하여 만들어진 별검	15
1008	적호박별검	0	1890	108	1	0	2000000	10	0	0	0	0	99	1	0	2	1	1	0.01	1000	10000	-	-	-	-	붉은색 호박별을 제련하여 만들어진 별검	15
1009	녹호박별검	0	1890	108	3	0	2000000	10	0	0	0	0	99	1	0	2	1	1	0.01	1000	10000	-	-	-	-	녹색 호박별을 제련하여 만들어진 별검	15
1010	갈호박별검	0	1890	108	6	0	2000000	10	0	0	0	0	99	1	0	2	1	1	0.01	1000	10000	-	-	-	-	갈색 호박별을 제련하여 만들어진 별검	15
1011	청호박별검	0	1890	108	4	0	2000000	10	0	0	0	0	99	1	0	2	1	1	0.01	1000	10000	-	-	-	-	청색 호박별을 제련하여 만들어진 별검	15
1012	회호박별검	0	1890	108	5	0	2000000	10	0	0	0	0	99	1	0	2	1	1	0.01	1000	10000	-	-	-	-	회색 호박별을 제련하여 만들어진 별검	15
1013	자호박별검	0	1890	108	9	0	2000000	10	0	0	0	0	99	1	0	2	1	1	0.01	1000	10000	-	-	-	-	보라색 호박별을 제련하여 만들어진 별검	15
1014	연녹호박별검	0	1890	108	2	0	2000000	10	0	0	0	0	99	1	0	2	1	1	0.01	1000	10000	-	-	-	-	연한 녹색 호박별을 제련하여 만들어진 별검	15
1015	연청호박별검	0	1890	108	10	0	2000000	10	0	0	0	0	99	1	0	2	1	1	0.01	1000	10000	-	-	-	-	연한 파란색 호박별을 제련하여 만들어진 별검	15
1016	연갈호박별검	0	1890	108	7	0	2000000	10	0	0	0	0	99	1	0	2	1	1	0.01	1000	10000	-	-	-	-	연한 갈색 호박별을 제련하여 만들어진 별검	15
1017	연자호박별검	0	1890	108	8	0	2000000	10	0	0	0	0	99	1	0	2	1	1	0.01	1000	10000	-	-	-	-	연한 보라색 호박별을 제련하여 만들어진 별검	15
1018	황금호박별검	0	1890	108	11	0	2000000	10	0	0	0	0	99	1	0	2	1	1	0.01	1000	30000	-	-	-	-	찬란히 빛나는 황금 호박별을 제련하여 만들어진 별검	18
1028	용마제일검	0	629	11	0	0	3000	10	0	0	0	0	99	1	0	2	1	1	500	0	200	-	-	-	-	용왕 용마의 어금니로 만들어진 전설의 검	20
1029	용마제이검	0	629	11	0	0	15000	10	0	0	0	0	99	1	0	2	1	1	500	0	200	-	-	-	-	용왕 용마의 어금니로 만들어진 전설의 검	22
1030	용마제삼검	0	629	11	0	0	20000	10	0	0	0	0	99	1	0	2	1	0	500	0	200	-	-	-	-	용왕 용마의 어금니로 만들어진 전설의 검	24
1031	용마제사검	0	796	49	0	0	25000	10	0	0	0	0	99	1	0	2	1	0	500	0	200	-	-	-	-	용왕 용마의 어금니로 만들어진 전설의 검	26
1032	용마제오검	0	796	49	0	0	30000	10	0	0	0	0	99	1	0	2	1	0	500	0	200	-	-	-	-	용왕 용마의 어금니로 만들어진 전설의 검	28
1033	용마제육검	0	796	49	0	0	30000	10	0	0	0	0	99	1	0	2	1	0	500	0	200	-	-	-	-	용왕 용마의 어금니로 만들어진 전설의 검	30
1034	용마제칠검	0	1177	76	0	0	50000	10	0	0	0	0	99	1	0	2	1	0	500	0	200	-	-	-	-	용왕 용마의 어금니로 만들어진 전설의 검	32
1035	용마제팔검	0	1178	77	0	0	70000	10	0	0	0	0	99	1	0	2	1	0	500	0	200	-	-	-	-	용왕 용마의 어금니로 만들어진 전설의 검	34
1036	용마제구검	0	1179	78	0	0	100000	10	0	0	0	0	99	1	0	2	1	0	500	0	200	-	-	-	-	용왕 용마의 어금니로 만들어진 전설의 검	36
1054	[손상]용마제칠검	0	1177	76	0	0	50000	10	0	0	0	0	99	1	0	2	1	0	500	0	200	-	-	-	-	용왕 용마의 어금니로 만들어진 전설의 검	32
1055	[손상]용마제팔검	0	1178	77	0	0	70000	10	0	0	0	0	99	1	0	2	1	0	500	0	200	-	-	-	-	용왕 용마의 어금니로 만들어진 전설의 검	34
1057	적철검	0	775	28	0	0	20000	0	0	0	0	0	33	1	0	0	0	0	0	1000	500	-	-	-	-	전사 33무기 퀘스트 보상	5
1058	현월창	0	654	10008	0	0	40000	10	0	0	0	0	66	1	0	0	0	0	0	1000	1500	-	-	-	-	전사 66무기 퀘스트 보상	7
1059	참마도	0	928	63	0	0	400000	10	0	0	0	0	99	1	0	0	0	0	0	1000	150	-	-	-	-	전사 99무기 퀘스트 보상	10
//도적무기
1200	가시철도	0	1115	67	0	0	500000	10	0	0	0	0	75	2	0	0	1	1	0.1	1000	10000	-	-	-	-	눈에 보이지 않는 세밀한 가시가 돋혀 있는 철도	13
1201	가시철단도	0	1	6	0	0	500000	100000	0	0	0	0	75	2	0	1	1	0	0	10000	100000	-	-	-	-	눈에 보이지 않는 세밀한 가시가돋혀 있는 철단도	15
1202	백진도	0	1116	69	0	0	500000	10	0	0	0	0	75	2	0	0	1	1	0.07	1000	10000	-	-	-	-	아름다운 청백색의 검 속에 숨겨진 날카로움	18
1203	야월도	0	644	17	0	0	400000	3000	0	0	0	0	45	2	0	0	1	1	0.01	150	1500	-	-	-	-	밤하늘 초승달의 모습과도 같이 휘어진 검	10
1204	흑월도	0	773	26	0	0	400000	3000	0	0	0	0	56	2	0	0	1	1	0.01	150	1500	-	-	-	-	밤하늘 초승달의 모습과도 같이 휘어진 검	12
1205	일월대도	0	643	16	0	0	5000000	10	0	0	0	0	30	2	0	2	1	0	0	50	500	-	-	-	-	대낮에 희미하게 보이는 달의 모습을 본따 만들어진 대도	10
1206	황호박별도	0	1891	109	0	0	2000000	10	0	0	0	0	99	2	0	2	1	1	0.01	1000	10000	-	-	-	-	노란색 호박별을 제련하여 만들어진 별도	15
1207	적호박별도	0	1891	109	1	0	2000000	10	0	0	0	0	99	2	0	2	1	1	0.01	1000	10000	-	-	-	-	붉은색 호박별을 제련하여 만들어진 별도	15
1208	녹호박별도	0	1891	109	3	0	2000000	10	0	0	0	0	99	2	0	2	1	1	0.01	1000	10000	-	-	-	-	녹색 호박별을 제련하여 만들어진 별도	15
1209	갈호박별도	0	1891	109	6	0	2000000	10	0	0	0	0	99	2	0	2	1	1	0.01	1000	10000	-	-	-	-	갈색 호박별을 제련하여 만들어진 별도	15
1210	청호박별도	0	1891	109	4	0	2000000	10	0	0	0	0	99	2	0	2	1	1	0.01	1000	10000	-	-	-	-	청색 호박별을 제련하여 만들어진 별도	15
1211	회호박별도	0	1891	109	5	0	2000000	10	0	0	0	0	99	2	0	2	1	1	0.01	1000	10000	-	-	-	-	회색 호박별을 제련하여 만들어진 별도	15
1212	자호박별도	0	1891	109	9	0	2000000	10	0	0	0	0	99	2	0	2	1	1	0.01	1000	10000	-	-	-	-	보라색 호박별을 제련하여 만들어진 별도	15
1213	연녹호박별도	0	1891	109	2	0	2000000	10	0	0	0	0	99	2	0	2	1	1	0.01	1000	10000	-	-	-	-	연한 녹색 호박별을 제련하여 만들어진 별도	15
1214	연청호박별도	0	1891	109	10	0	2000000	10	0	0	0	0	99	2	0	2	1	1	0.01	1000	10000	-	-	-	-	연한 파란색 호박별을 제련하여 만들어진 별도	15
1215	연갈호박별도	0	1891	109	7	0	2000000	10	0	0	0	0	99	2	0	2	1	1	0.01	1000	10000	-	-	-	-	연한 갈색 호박별을 제련하여 만들어진 별도	15
1216	연자호박별도	0	1891	109	8	0	2000000	10	0	0	0	0	99	2	0	2	1	1	0.01	1000	10000	-	-	-	-	연한 보라색 호박별을 제련하여 만들어진 별도	15
1217	황금호박별도	0	1891	109	11	0	2000000	10	0	0	0	0	99	2	0	2	1	1	0.01	1000	30000	-	-	-	-	찬란히 빛나는 황금 호박별을 제련하여 만들어진 별도	18
1227	용천제일검	0	640	9	0	0	3000	10	0	0	0	0	99	2	0	2	1	1	500	0	200	-	-	-	-	용왕 용천의 어금니로 만들어진 전설의 검	20
1228	용천제이검	0	640	9	0	0	15000	10	0	0	0	0	99	2	0	2	1	1	500	0	200	-	-	-	-	용왕 용천의 어금니로 만들어진 전설의 검	22
1229	용천제삼검	0	640	9	0	0	20000	10	0	0	0	0	99	2	0	2	1	1	500	0	200	-	-	-	-	용왕 용천의 어금니로 만들어진 전설의 검	24
1230	용천제사검	0	795	48	0	0	25000	10	0	0	0	0	99	2	0	2	1	0	500	0	200	-	-	-	-	용왕 용천의 어금니로 만들어진 전설의 검	26
1231	용천제오검	0	795	48	0	0	30000	10	0	0	0	0	99	2	0	2	1	0	500	0	200	-	-	-	-	용왕 용천의 어금니로 만들어진 전설의 검	28
1232	용천제육검	0	795	48	0	0	30000	10	0	0	0	0	99	2	0	2	1	0	500	0	200	-	-	-	-	용왕 용천의 어금니로 만들어진 전설의 검	30
1233	용천제칠검	0	1180	79	0	0	50000	10	0	0	0	0	99	2	0	2	1	0	500	0	200	-	-	-	-	용왕 용천의 어금니로 만들어진 전설의 검	32
1234	용천제팔검	0	1181	80	0	0	70000	10	0	0	0	0	99	2	0	2	1	0	500	0	200	-	-	-	-	용왕 용천의 어금니로 만들어진 전설의 검	34
1235	용천제구검	0	1182	81	0	0	100000	10	0	0	0	0	99	2	0	2	1	0	500	0	200	-	-	-	-	용왕 용천의 어금니로 만들어진 전설의 검	36
1236	비늘단도	0	642	7	0	0	20000	0	0	0	0	0	33	2	0	0	0	0	0	1000	500	-	-	-	-	도적 33무기 퀘스트 보상	5
1237	철태도	0	806	53	0	0	40000	10	0	0	0	0	66	2	0	0	0	0	0	1000	1500	-	-	-	-	도적 66무기 퀘스트 보상	7
1238	각암추	0	2364	145	0	0	400000	10	0	0	0	0	99	2	0	0	0	0	0	1000	150	-	-	-	-	도적 99무기 퀘스트 보상	10
1254	[손상]용천제칠검	0	1180	79	0	0	50000	10	0	0	0	0	99	2	0	2	1	0	500	0	200	-	-	-	-	용왕 용천의 어금니로 만들어진 전설의 검	32
1255	[손상]용천제팔검	0	1181	80	0	0	70000	10	0	0	0	0	99	2	0	2	1	0	500	0	200	-	-	-	-	용왕 용천의 어금니로 만들어진 전설의 검	34
//주술사무기
1400	대마령봉	0	62	10002	0	0	50000	100000	0	0	0	0	75	3	0	1	1	0	0	5000	10000	-	-	-	-	도깨비들의 혼이 머무른다는 봉	13
1401	대마혼봉	0	1097	10021	0	0	50000	10	0	0	0	0	75	3	0	0	1	1	0.25	1000	10000	-	-	-	-	도깨비들의 혼이 머무른다는 봉	15
1402	용설봉	0	1102	10026	0	0	50000	10	0	0	0	0	75	3	0	0	1	1	0.25	10000	100000	-	-	-	-	죽은 도깨비들의 혼이 마력을 남기고 잠든 봉	18
1403	영혼마령봉	0	616	10004	0	0	50000	4000	0	0	0	0	50	3	0	0	1	1	0.06	150	1500	-	-	-	-	죽은 이의 영혼이 머물러 마력을 띄는 봉	10
1404	원혼마령봉	0	616	10004	1	0	70000	10	0	0	0	0	56	3	0	2	1	1	0.6	500	5000	-	-	-	-	강한 마력을 지닌 원혼이 머물러 있다	12
1405	술사별봉	0	625	10007	0	0	1000000	10	0	0	0	0	92	3	0	0	1	0	0	50	500	-	-	-	-	별똥별의 조각으로 만들어졌다는 전설이 전해 내려오는 봉	18
1406	연갈호박별곤	0	1893	10036	7	0	2000000	10	0	0	0	0	99	3	0	2	1	1	0.01	1000	10000	-	-	-	-	연한 갈색 호박별을 제련하여 만들어진 별곤	15
1407	연녹호박별곤	0	1893	10036	2	0	2000000	10	0	0	0	0	99	3	0	2	1	1	0.01	1000	10000	-	-	-	-	연한 녹색 호박별을 제련하여 만들어진 별곤	15
1408	연자호박별곤	0	1893	10036	8	0	2000000	10	0	0	0	0	99	3	0	2	1	1	0.01	1000	10000	-	-	-	-	연한 보라색 호박별을 제련하여 만들어진 별곤	15
1409	연청호박별곤	0	1893	10036	10	0	2000000	10	0	0	0	0	99	3	0	2	1	1	0.01	1000	10000	-	-	-	-	연한 파란색 호박별을 제련하여 만들어진 별곤	15
1410	황호박별곤	0	1893	10036	0	0	2000000	10	0	0	0	0	99	3	0	2	1	1	0.01	1000	10000	-	-	-	-	노란색 호박별을 제련하여 만들어진 별곤	15
1411	적호박별곤	0	1893	10036	1	0	2000000	10	0	0	0	0	99	3	0	2	1	1	0.01	1000	10000	-	-	-	-	붉은색 호박별을 제련하여 만들어진 별곤	15
1412	녹호박별곤	0	1893	10036	3	0	2000000	10	0	0	0	0	99	3	0	2	1	1	0.01	1000	10000	-	-	-	-	녹색 호박별을 제련하여 만들어진 별곤	15
1413	갈호박별곤	0	1893	10036	6	0	2000000	10	0	0	0	0	99	3	0	2	1	1	0.01	1000	10000	-	-	-	-	갈색 호박별을 제련하여 만들어진 별곤	15
1414	청호박별곤	0	1893	10036	4	0	2000000	10	0	0	0	0	99	3	0	2	1	1	0.01	1000	10000	-	-	-	-	청색 호박별을 제련하여 만들어진 별곤	15
1415	회호박별곤	0	1893	10036	5	0	2000000	10	0	0	0	0	99	3	0	2	1	1	0.01	1000	10000	-	-	-	-	회색 호박별을 제련하여 만들어진 별곤	15
1416	자호박별곤	0	1893	10036	9	0	2000000	10	0	0	0	0	99	3	0	2	1	1	0.01	1000	10000	-	-	-	-	보라색 호박별을 제련하여 만들어진 별곤	15
1417	황금호박별곤	0	1893	10036	11	0	2000000	10	0	0	0	0	99	3	0	2	1	1	0.01	1000	30000	-	-	-	-	찬란히 빛나는 황금 호박별을 제련하여 만들어진 별곤	18
1427	용랑제일봉	0	636	13	0	0	3000	10	0	0	0	0	99	3	0	2	1	1	500	0	200	-	-	-	-	용왕 용랑의 어금니로 만들어진 전설의 검	20
1428	용랑제이봉	0	636	13	0	0	15000	10	0	0	0	0	99	3	0	2	1	1	500	0	200	-	-	-	-	용왕 용랑의 어금니로 만들어진 전설의 검	22
1429	용랑제삼봉	0	636	13	0	0	20000	10	0	0	0	0	99	3	0	2	1	1	500	0	200	-	-	-	-	용왕 용랑의 어금니로 만들어진 전설의 검	24
1430	용랑제사봉	0	798	50	0	0	25000	10	0	0	0	0	99	3	0	2	1	0	500	0	200	-	-	-	-	용왕 용랑의 어금니로 만들어진 전설의 검	26
1431	용랑제오봉	0	798	50	0	0	30000	10	0	0	0	0	99	3	0	2	1	0	500	0	200	-	-	-	-	용왕 용랑의 어금니로 만들어진 전설의 검	28
1432	용랑제육봉	0	798	50	0	0	30000	10	0	0	0	0	99	3	0	2	1	0	500	0	200	-	-	-	-	용왕 용랑의 어금니로 만들어진 전설의 검	30
1433	용랑제칠봉	0	1174	73	0	0	50000	10	0	0	0	0	99	3	0	2	1	0	500	0	200	-	-	-	-	용왕 용랑의 어금니로 만들어진 전설의 검	32
1434	용랑제팔봉	0	1175	74	0	0	70000	10	0	0	0	0	99	3	0	2	1	0	500	0	200	-	-	-	-	용왕 용랑의 어금니로 만들어진 전설의 검	34
1435	용랑제구봉	0	1176	75	0	0	100000	10	0	0	0	0	99	3	0	2	1	0	500	0	200	-	-	-	-	용왕 용랑의 어금니로 만들어진 전설의 검	36
1436	홍옥지팡이	0	903	10018	0	0	1500	0	0	0	0	0	33	3	0	0	0	0	0	1000	500	-	-	-	-	주술사 33무기 퀘스트 보상	5
1437	해골흑장	0	620	10005	8	0	20000	2000	0	0	0	0	66	3	0	0	0	0	0	1000	10000	-	-	-	-	주술사 66무기 퀘스트 보상	7
1438	흑단화염장	0	35	14	0	0	7500	10	0	0	0	0	99	3	0	0	0	0	0	10000	100000	-	-	-	-	-	주술사 99무기 퀘스트 보상	10
1454	[손상]용랑제칠봉	0	1174	73	0	0	50000	10	0	0	0	0	99	3	0	2	1	0	500	0	200	-	-	-	-	용왕 용랑의 어금니로 만들어진 전설의 검	32
1455	[손상]용랑제팔봉	0	1175	74	0	0	70000	10	0	0	0	0	99	3	0	2	1	0	500	0	200	-	-	-	-	용왕 용랑의 어금니로 만들어진 전설의 검	34
//도사무기
1601	삼촉현창	0	750	10003	0	0	50000	100000	0	0	0	0	70	4	0	1	1	0	0	10000	10000	-	-	-	-	하늘과땅, 사람을 상징하는 세개의 촉이 달린 창	13
1602	삼촉현선	0	1098	10022	0	0	50000	10	0	0	0	0	70	4	0	0	1	1	1	1000	10000	-	-	-	-	하늘과땅, 사람을 상징하는 세개의 촉이 달린 창	15
1603	진선장	0	1103	10027	0	0	50000	10	0	0	0	0	70	4	0	0	1	1	0.1	1000	10000	-	-	-	-	하늘과땅, 사람을 상징하는 세개의 촉이 마력을 증폭시킨다	18
1604	해골죽장	0	620	10034	0	0	20000	2000	0	0	0	0	40	4	0	0	1	0	0.5	150	1500	-	-	-	-	죽은 이의 영혼이 잠든 죽장	10
1605	영혼죽장	0	1615	10014	0	0	40000	10	0	0	0	0	56	4	0	0	1	1	0.6	500	5000	-	-	-	-	죽은 이의 영혼이 잠든 죽장	12
1606	꼬마별봉	0	626	10007	0	0	3000000	10	0	0	0	0	90	4	0	1	1	0	0	10000	50000	-	-	-	-	-	18
1607	진꼬마별봉	0	628	10007	0	0	5000000	10	0	0	0	0	99	4	0	2	1	0	0	10000	50000	-	-	-	-	-	19	
1608	황호박별봉	0	1892	10035	0	0	2000000	10	0	0	0	0	99	4	0	2	1	1	0.01	1000	10000	-	-	-	-	노란색 호박별을 제련하여 만들어진 별봉	15
1609	적호박별봉	0	1892	10035	1	0	2000000	10	0	0	0	0	99	4	0	2	1	1	0.01	1000	10000	-	-	-	-	붉은색 호박별을 제련하여 만들어진 별봉	15
1610	녹호박별봉	0	1892	10035	3	0	2000000	10	0	0	0	0	99	4	0	2	1	1	0.01	1000	10000	-	-	-	-	녹색 호박별을 제련하여 만들어진 별봉	15
1611	갈호박별봉	0	1892	10035	6	0	2000000	10	0	0	0	0	99	4	0	2	1	1	0.01	1000	10000	-	-	-	-	갈색 호박별을 제련하여 만들어진 별봉	15
1612	청호박별봉	0	1892	10035	4	0	2000000	10	0	0	0	0	99	4	0	2	1	1	0.01	1000	10000	-	-	-	-	청색 호박별을 제련하여 만들어진 별봉	15
1613	회호박별봉	0	1892	10035	5	0	2000000	10	0	0	0	0	99	4	0	2	1	1	0.01	1000	10000	-	-	-	-	회색 호박별을 제련하여 만들어진 별봉	15
1614	자호박별봉	0	1892	10035	9	0	2000000	10	0	0	0	0	99	4	0	2	1	1	0.01	1000	10000	-	-	-	-	보라색 호박별을 제련하여 만들어진 별봉	15
1615	연녹호박별봉	0	1892	10035	2	0	2000000	10	0	0	0	0	99	4	0	2	1	1	0.01	1000	10000	-	-	-	-	연한 녹색 호박별을 제련하여 만들어진 별봉	15
1616	연청호박별봉	0	1892	10035	10	0	2000000	10	0	0	0	0	99	4	0	2	1	1	0.01	1000	10000	-	-	-	-	연한 파란색 호박별을 제련하여 만들어진 별봉	15
1617	연갈호박별봉	0	1892	10035	7	0	2000000	10	0	0	0	0	99	4	0	2	1	1	0.01	1000	10000	-	-	-	-	연한 갈색 호박별을 제련하여 만들어진 별봉	15
1618	연자호박별봉	0	1892	10035	8	0	2000000	10	0	0	0	0	99	4	0	2	1	1	0.01	1000	10000	-	-	-	-	연한 보라색 호박별을 제련하여 만들어진 별봉	15
1619	황금호박별봉	0	1892	10035	11	0	2000000	10	0	0	0	0	99	4	0	2	1	1	0.01	1000	30000	-	-	-	-	찬란히 빛나는 황금 호박별을 제련하여 만들어진 별봉	18
1629	용겸제일봉	0	632	12	0	0	3000	10	0	0	0	0	99	4	0	2	1	1	500	0	200	-	-	-	-	용왕 용겸의 어금니로 만들어진 전설의 검	20
1630	용겸제이봉	0	632	12	0	0	15000	10	0	0	0	0	99	4	0	2	1	1	500	0	200	-	-	-	-	용왕 용겸의 어금니로 만들어진 전설의 검	22
1631	용겸제삼봉	0	632	12	0	0	20000	10	0	0	0	0	99	4	0	2	1	1	500	0	200	-	-	-	-	용왕 용겸의 어금니로 만들어진 전설의 검	24
1632	용겸제사봉	0	802	51	0	0	25000	10	0	0	0	0	99	4	0	2	1	0	500	0	200	-	-	-	-	용왕 용겸의 어금니로 만들어진 전설의 검	26
1633	용겸제오봉	0	802	51	0	0	30000	10	0	0	0	0	99	4	0	2	1	0	500	0	200	-	-	-	-	용왕 용겸의 어금니로 만들어진 전설의 검	28
1634	용겸제육봉	0	802	51	0	0	30000	10	0	0	0	0	99	4	0	2	1	0	500	0	200	-	-	-	-	용왕 용겸의 어금니로 만들어진 전설의 검	30
1635	용겸제칠봉	0	1183	90	0	0	50000	10	0	0	0	0	99	4	0	2	1	0	500	0	200	-	-	-	-	용왕 용겸의 어금니로 만들어진 전설의 검	32
1636	용겸제팔봉	0	1184	91	0	0	70000	10	0	0	0	0	99	4	0	2	1	0	500	0	200	-	-	-	-	용왕 용겸의 어금니로 만들어진 전설의 검	34
1637	용겸제구봉	0	1185	92	0	0	100000	10	0	0	0	0	99	4	0	2	1	0	500	0	200	-	-	-	-	용왕 용겸의 어금니로 만들어진 전설의 검	36
1638	은십자막대	0	816	10015	0	0	1000	0	0	0	0	0	33	4	0	0	0	0	0	1000	500	-	-	-	-	도사 33무기 퀘스트 보상	5
1639	남월곡장	0	918	57	0	0	2000	0	0	0	0	0	66	4	0	0	0	0	0	1000	10000	-	-	-	-	-	도사 66무기 퀘스트 보상	7
1640	백운장	0	1117	72	0	0	5000	10	0	0	0	0	99	4	0	0	0	0	0	10000	10000	-	-	-	-	-	도사 99무기 퀘스트 보상	10
1664	[손상]용겸제칠봉	0	1183	90	0	0	50000	10	0	0	0	0	99	4	0	2	1	0	500	0	200	-	-	-	-	용왕 용겸의 어금니로 만들어진 전설의 검	32
1665	[손상]용겸제팔봉	0	1184	91	0	0	70000	10	0	0	0	0	99	4	0	2	1	0	500	0	200	-	-	-	-	용왕 용겸의 어금니로 만들어진 전설의 검	34

