//번호	이름	이미지	염색
188	고균도선착행자	69	0
189	영채	57	3
190	하태현	541	0
191	도태연	551	0
192	하문주	556	0
193	우가풍	53	1
194	부여-섬선원	305	0
195	부여-섬뱃사공	305	0
196	고구려-섬선원	305	0
197	고구려-섬뱃사공	305	0
198	부여고균도매표상	302	0
199	고구려고균도매표상	302	0
200	흉노상점1	3	0
201	흉노상점2	3	0
202	흉노상점3	3	0
203	흉노상점4	3	0
204	부여-일본섬선원	305	0
205	부여-일본섬뱃사공	305	0
206	고구려-일본섬선원	305	0
207	고구려-일본섬뱃사공	305	0
208	백삼	87	3
209	사천족제사장	342	0
210	산소소탕병사	495	0
211	산소소탕대장	494	0
212	공성성황	10	3
213	미궁상점	72	0
214	열쇠교환상	53	3
215	서천좌상	494	0
216	한상약	565	0
217	벽돌장수	39	0
218	장안성대장간	487	0
219	대방성푸줏간	488	0
220	현도성푸줏간	488	0
221	혼례식도우미	4	0
222	주례사	4	3
223	주작성문지기	1	31
224	청룡성문지기	1	2
225	현무성문지기	1	3
226	백호성문지기	1	11
227	공성타이머	999	0
228	성문문지기1	1	0
229	호위무사	303	0
230	대방성주모	486	0
231	장안성장군	492	0
232	상해주민	550	0
233	병든아이어머니	16	0
234	병든아이	13	0
235	복건성태자	5	0
236	남천좌상	493	0
237	떡쇠마누라	15	3
238	채희	72	0
239	건포상	7	3
240	보약의달인	41	2
241	주경원	7	0
242	광동성푸줏간	488	0
243	성문문지기2	1	0
244	성문문지기3	1	0
245	성문문지기4	1	0
246	성문문지기5	1	0
247	성문문지기6	1	0
248	성문문지기7	1	0
249	성문문지기8	1	0
250	마타제자	440	0
251	백룡장	170	11
252	초보미궁지기	4	1
253	말하기도우미	72	4
254	사냥도우미	3	0
255	똘똘이도우미	62	3

//-----------------------------------------------------------
256	신규낙랑	4	4
257	웅담GM	-1	0
258	부장돌	87	5
259	부화돌	72	5
260	부패돌	72	5
261	부윷돌	87	3
262	부윷일	72	1
263	부윷이	72	1
264	부윷삼	72	1
265	부윷사	72	1
266	기선	88	4
267	차돌	87	5
268	고장돌	87	5
269	고윷돌	87	5
270	고윷일	72	1
271	고윷이	72	1
272	고윷삼	72	1
273	고윷사	72	1
274	빙돌일	87	5
275	빙돌이	87	5
276	빙돌삼	87	5
277	빙돌사	87	5
278	빙돌오	87	5
279	미궁장기알판매상	87	5
280	미궁화투패판매상	87	5
281	미궁카드패판매상	87	5
//홍옥 (10543)
282	미궁시약상1	72	4

//국광 (10544)
283	미궁시약상2	72	4
284	미궁무기장인	87	5
285	간수장	70	4
//286
287	사용자오엑스	72	4
288	오엑스도우미	72	4
289	오엑스출입	308	0
290	몹이벤트도우미	1	3
291	문파성관리인	214	0
292	문파성선생	215	0
293	백호수련스승	217	0
294	주작수련스승	218	0
295	청룡수련스승	219	0
296	현무수련스승	216	0
297	백호대장장이	7	11
298	백호푸주한	12	11
299	백호갑옷상	11	11
300	백호포목상	6	11
301	주작대장장이	7	31
302	주작푸주한	12	31
303	주작갑옷상	11	31
304	주작포목상	6	31
305	청룡대장장이	7	17
306	청룡푸주한	12	17
307	청룡갑옷상	11	17
308	청룡포목상	6	17
309	현무대장장이	7	12
310	현무푸주한	12	12
311	현무갑옷상	11	12
312	현무포목상	6	12
313	공성테스트	82	0
314	톨루이	5	0
315	몹입장권도우미	1	3
316	귀환도우미	1	3
317	배심원투표도우미	4	8
318	복불복도우미	4	15
319	토토입장	4	15
320	게이바주인	266	0
321	부롱대미궁입장	4	15
322	교환원	82	0
323	해골NPC	31	3
324	도깨비NPC	100	0
325	흉가NPC	114	0
326	백호왕NPC	131	0
327	어전NPC	268	0
328	용궁NPC	415	0
329	촌장	342	0
330	촌장부인	343	0
331	백몽연	426	0
332	백나연	341	0
333	오단미	328	0
334	정어언	393	0
335	백세인	339	0
336	백남신	340	0
337	장명주	431	0
338	장명지	433	0
339	백주연	334	0
340	오선릉	395	0
341	백리향	330	0
342	혜방스님	438	0
343	영문스님	437	0
344	일본통신사	62	3
345	고대유물연구가	69	0
346	도삭산대신선	301	0
347	도삭산신선	546	0
348	도나영	547	0
349	도삭산1000층갑옷상	489	0
350	도삭산1000층포목상	490	0
351	소림사술장수	441	0
352	혜천대사	437	0
353	철수나한	438	0
354	소림사승려	439	0
355	소림사둔갑술	441	0
356	율경	212	0
357	금권	74	0
358	중국대장장이	487	0
361	비밀	548	1
362	두만	614	0
363	유령화화	258	0
364	구양성입장	4	25
365	금화	75	0
366	금화교환	330	3
367	박영나한	441	0
368	설날교환원	330	8
369	금화상인	330	3
370	여방	330	11
371	둔귀촌주모	15	3
372	우체국할아범	41	11
373	어버이날	76	8
374	색깔무한도우미	78	3
375	털보죄수	46	0
376	여자죄수	47	0
377	만리장성잡화상01	306	0
378	만리장성잡화상02	306	1
379	만리장성잡화상03	306	2
380	만리장성잡화상04	306	6
381	만리장성잡화상05	306	9
382	만리장성잡화상06	306	7
383	만리장성잡화상07	306	8
384	만리장성잡화상08	306	4
385	만리장성잡화상09	306	5
386	만리장성잡화상10	306	17
387	만리장성잡화상11	306	20
388	만리장성잡화상12	306	23
389	만리장성잡화상13	306	25
390	흉노장로	313	0
391	수행간수장	79	0
392	인던체크	1000	0
393	마한종료	155	3
394	낭산종료	155	5
395	성문1	650	0
396	성문2	651	0
397	성문3	652	0
398	성문4	653	0
399	성문5	654	0
400	성문6	655	0
401	성문7	656	0
402	성문8	657	0
403	와산종료	155	5
404	단군백호스승	217	0
405	단군주작스승	218	0
406	단군청룡스승	219	0
407	단군현무스승	216	0
408	회상틈새의백호	627	0
409	회상틈새의주작	625	0
410	회상틈새의청룡	631	0
411	회상틈새의현무	629	0
412	백호의육체	163	0
413	주작의육체	164	0
414	청룡의육체	166	0
415	현무의육체	165	0
416	경마도우미	82	0
417	설원세공사1	208	1
418	설원세공사2	208	2
419	설원세공사3	208	3
420	설원세공사4	208	4
421	설원조합사1	207	1
422	설원조합사2	207	2
423	설원조합사3	207	3
424	설원조합사4	207	4
425	경마장애물	82	0
426	고구려갑판선원	305	0
427	성황할머니	10	3
428	말도	72	4
429	사도	3	0
430	아도	62	3
431	직도	3	1
432	완도	17	0
433	북방나무꾼	3	4
434	일본전설대장장이	560	0
435	백호제단지기	217	0
436	주작제단지기	218	0
437	청룡제단지기	219	0
438	현무제단지기	216	0
439	사냥이벤트도우미	82	0
//436	
//437	
//438	
//439	
//440	
//441	
//442	
443	부여경품상	3	0
444	산타클로스	192	0
445	절대곰	25	8
446	어리버리한곰	25	9
447	웅담GM	-1	0
//448	
//449	
//450	
//451	
452	흉노토벌장군	492	0
453	대원왕	587	2
456	중원왕	587	5
454	소원왕	587	3
459	화원왕	587	8
457	수원왕	587	6
461	목원왕	587	10
460	금원왕	587	9
455	토원왕	587	4
458	성원왕	587	7
462	진봉쇄장군	492	0
463	봉쇄장군	493	0
464	참원왕	587	12
465	인랑	572	24
466	오른이	581	2
467	외니	581	2
468	수수	581	2
469	화사화사	581	2
470	아이디변경	41	11
471	한수	7	9
472	초패	70	9
473	황금서부백호	163	0
474	황금남부주작	164	0
475	황금동부청룡	166	0
476	황금북부현무	165	0
477	부롱또또	55	6
478	폭노폭노	296	17
479	흉노족행상인	71	0
480	피리부는소년	5	0
481	경품상	306	2
482	노란비서상인	41	1
483	소환비서상인	41	2
484	동동주상인	41	3
485	막걸리상인	41	4
486	출발도우미	50	0
487	비서판매상인	3	1
488	바람돌이	3	5
489	앙스승띠	41	12
//490	
//491	
//92	
//493	
494	남북무한도우미	3	1
495	북팀워프	3	31
496	남팀워프	3	17
497	백남인	329	0
498	보름달	394	0
//499	
//500	
//501	
//502	
//503	
//504	
//505	
539	장안성백성	3	0
540	장안성백성2	5	0
541	북천좌상	494	0
542	영환도사	213	0
543	장안성간수	489	0
544	부여성북문지기	495	0
545	흉노장로2	301	0
546	칠중하종료	155	5
547	암상인	177	0
548	백수인	397	0
549	만월늑대인간	292	26
550	마동참가신청	4	4
551	암흑귀인	177	0
552	꽃상인	82	4
553	추모NPC	40	10
554	날씨알려주는돌	308	5
555	률	17	0
556	초혼의장인	78	3
557	도깨비상인	100	0
558	견우	331	0
559	직녀	332	0
560	낙양성대장간	487	0
561	현도성대장간	487	0
562	자철공	5	0
563	주몽	-86	0
564	오이	-87	0
565	협부	-88	0
566	마리	-89	0
567	각만	615	0
568	흉만	616	0
569	수정노인	7	3
570	크리스탈노인	7	3
571	식목도우미	4	22
572	성물백호	627	0
573	성물주작	625	0
574	성물청룡	631	0
575	성물현무	629	0

576	토로라비	5	1
577	고구려경품상	3	1

600	북극상인	203	0
601	장안경비대장	494	0
602	장안경비병	495	0


603	백두산상인	549	2
604	초도	705	0
605	산예	704	0
606	애차	703	0
607	공하	702	0
608	삼지연놀이자	696	0
609	삼지연공부자	707	0
610	도차	701	0

611	중독된폐한	700	0
612	폐한	700	0
613	백두산사향장인	692	0

614	포뢰	699	0
615	백두산선비	563	2
616	백두산북장인	693	0
617	이문	698	0
618	비희	697	0
619	백암신선	88	2

620	백두촌대장장이	694	0
621	백두촌포목상	695	0
622	요선도인	545	2

623	백두촌잡화상	696	0

624	백두촌푸주한	696	0


